;Канал: 0;Канал: 1;
73;0,5786;-2,4780;
73;0,5786;-2,5366;
73;0,5884;-2,5488;
73;0,6177;-2,5879;
73;0,6079;-2,6172;
73;0,5981;-2,6563;
73;0,6177;-2,6660;
73;0,6372;-2,6782;
73;0,6274;-2,6782;
73;0,6177;-2,6880;
74;0,6665;-2,6563;
74;0,6665;-2,6563;
74;0,6763;-2,6074;
74;0,6763;-2,4976;
74;0,6567;-2,4487;
74;0,6982;-2,4072;
74;0,6763;-2,3486;
74;0,6982;-2,2998;
74;0,6885;-2,2485;
74;0,6763;-2,1802;
75;0,6665;-2,1191;
75;0,6665;-2,0703;
75;0,6665;-2,0093;
75;0,6372;-1,9409;
75;0,6372;-1,8799;
75;0,6372;-1,8213;
75;0,6274;-1,7505;
75;0,6372;-1,6626;
75;0,6470;-1,6016;
75;0,6274;-1,5112;
76;0,6372;-1,4331;
76;0,6274;-1,3721;
76;0,6079;-1,2231;
76;0,6177;-1,1353;
76;0,5981;-1,0449;
76;0,5981;-0,9253;
76;0,6079;-0,8252;
76;0,5884;-0,7349;
76;0,5981;-0,6372;
76;0,5786;-0,5469;
77;0,5786;-0,4565;
77;0,5786;-0,3687;
77;0,5591;-0,2686;
77;0,5786;-0,1880;
77;0,5591;-0,0879;
77;0,5469;-0,0195;
77;0,5078;0,0708;
77;0,5078;0,1587;
77;0,4785;0,2490;
77;0,4688;0,3101;
78;0,4590;0,3979;
78;0,4590;0,4883;
78;0,4297;0,5688;
78;0,4175;0,6177;
78;0,3979;0,6982;
78;0,3687;0,7764;
78;0,3394;0,8472;
78;0,3101;0,8862;
78;0,3101;0,9668;
78;0,2783;1,0254;
79;0,2588;1,0767;
79;0,2393;1,1353;
79;0,1904;1,1743;
79;0,1587;1,2451;
79;0,1392;1,2842;
79;0,1001;1,3452;
79;0,0806;1,3843;
79;0,0415;1,4331;
79;0,0415;1,4844;
79;0,0098;1,5234;
80;-0,0195;1,5723;
80;-0,0293;1,6138;
80;-0,0586;1,6626;
80;-0,0879;1,6919;
80;-0,1001;1,7432;
80;-0,1294;1,7920;
80;-0,1489;1,8115;
80;-0,1489;1,8726;
80;-0,1685;1,8921;
80;-0,2173;1,9312;
81;-0,2393;1,9604;
81;-0,2173;1,9922;
81;-0,2783;2,0313;
81;-0,2783;2,0605;
81;-0,2881;2,0801;
81;-0,2979;2,1021;
81;-0,3076;2,1216;
81;-0,3174;2,1509;
81;-0,3369;2,1704;
81;-0,3271;2,1997;
82;-0,3369;2,2192;
82;-0,3467;2,2412;
82;-0,3784;2,2607;
82;-0,3882;2,2803;
82;-0,3784;2,3096;
82;-0,4175;2,3389;
82;-0,4175;2,3608;
82;-0,3882;2,3804;
82;-0,3979;2,4097;
82;-0,4370;2,4292;
83;-0,4370;2,4780;
83;-0,4468;2,5195;
83;-0,4468;2,5488;
83;-0,4761;2,5879;
83;-0,4761;2,6196;
83;-0,4761;2,6489;
83;-0,5078;2,6782;
83;-0,5078;2,6880;
83;-0,4761;2,7075;
83;-0,5469;2,6880;
84;-0,5176;2,6782;
84;-0,4883;2,6489;
84;-0,4980;2,6392;
84;-0,5176;2,5293;
84;-0,5273;2,4780;
84;-0,5469;2,4292;
84;-0,5371;2,3608;
84;-0,5273;2,2998;
84;-0,5371;2,2510;
84;-0,5273;2,1997;
85;-0,5176;2,1411;
85;-0,5176;2,0703;
85;-0,5176;2,0215;
85;-0,5078;1,9507;
85;-0,5078;1,8921;
85;-0,4883;1,8311;
85;-0,4980;1,7529;
85;-0,4980;1,6821;
85;-0,4980;1,6040;
85;-0,4980;1,5137;
86;-0,5078;1,4331;
86;-0,4980;1,3232;
86;-0,4761;1,2549;
86;-0,4883;1,1353;
86;-0,4565;1,0352;
86;-0,4761;0,9351;
86;-0,4761;0,8374;
86;-0,4468;0,7373;
86;-0,4565;0,6372;
86;-0,4565;0,5688;
87;-0,4468;0,4590;
87;-0,4370;0,3784;
87;-0,4272;0,2783;
87;-0,4565;0,2002;
87;-0,4370;0,1001;
87;-0,3882;0,0000;
87;-0,3979;-0,0879;
87;-0,3882;-0,1685;
87;-0,3979;-0,2490;
87;-0,3687;-0,3271;
88;-0,3467;-0,4175;
88;-0,3589;-0,5078;
88;-0,3271;-0,5762;
88;-0,2881;-0,6372;
88;-0,2783;-0,6958;
88;-0,2490;-0,7666;
88;-0,2295;-0,8252;
88;-0,2075;-0,9058;
88;-0,1392;-0,9644;
88;-0,1782;-1,0156;
89;-0,1099;-1,0938;
89;-0,0781;-1,1646;
89;-0,0586;-1,2036;
89;-0,0195;-1,2524;
